condition,comparison_group,source_dataset_name,recipe_id,recipe_instance_id,recipe_label,variant,manifest_path,input_jsonl,source_manifest,source_jsonl,jobs_jsonl,augmented_manifest,distorted_output_dir,benchmark_output_dir,detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,artifacts_dir,prediction_artifacts_path,metrics_artifacts_path,log_path,command
clean,Dataset-1,Dataset-1,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,,,,,,,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1,mesonet,MesoNet,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,71.107,0.48255451713395636,0.6897865874730021,0.356,0.579608411618936,0.6897865874730021,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/test_artifacts/mesonet__Dataset-1,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/test_artifacts/mesonet__Dataset-1/Dataset-1/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/test_artifacts/mesonet__Dataset-1/Dataset-1/metrics.json,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/logs/mesonet__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/evaluation_dataset_json --test_dataset Dataset-1 --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/test_artifacts/mesonet__Dataset-1
clean,Dataset-1,Dataset-1,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,,,,,,,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1,mesoinception,MesoInception,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,74.979,0.5604361370716511,0.5606840172786177,0.444,0.5210773763478277,0.5606840172786177,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/test_artifacts/mesoinception__Dataset-1,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/test_artifacts/mesoinception__Dataset-1/Dataset-1/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/test_artifacts/mesoinception__Dataset-1/Dataset-1/metrics.json,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/logs/mesoinception__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/evaluation_dataset_json --test_dataset Dataset-1 --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/test_artifacts/mesoinception__Dataset-1
clean,Dataset-1,Dataset-1,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,,,,,,,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1,xception,Xception,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,284.958,0.6425752855659398,0.661575313174946,0.392,0.698849867621627,0.661575313174946,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/test_artifacts/xception__Dataset-1,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/test_artifacts/xception__Dataset-1/Dataset-1/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/test_artifacts/xception__Dataset-1/Dataset-1/metrics.json,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/logs/xception__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/evaluation_dataset_json --test_dataset Dataset-1 --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1/test_artifacts/xception__Dataset-1
clean,NVIDIA-dataset,NVIDIA-dataset,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset.json,,,,,,,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset,mesonet,MesoNet,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,96.29,0.50065,0.51938042,0.4849,0.5005343575423739,0.51938042,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/mesonet__NVIDIA-dataset,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/mesonet__NVIDIA-dataset/NVIDIA-dataset/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/mesonet__NVIDIA-dataset/NVIDIA-dataset/metrics.json,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/logs/mesonet__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/evaluation_dataset_json --test_dataset NVIDIA-dataset --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/mesonet__NVIDIA-dataset
clean,NVIDIA-dataset,NVIDIA-dataset,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset.json,,,,,,,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset,mesoinception,MesoInception,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,94.638,0.47755,0.467774925,0.5226,0.4724492762690568,0.467774925,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/mesoinception__NVIDIA-dataset,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/mesoinception__NVIDIA-dataset/NVIDIA-dataset/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/mesoinception__NVIDIA-dataset/NVIDIA-dataset/metrics.json,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/logs/mesoinception__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/evaluation_dataset_json --test_dataset NVIDIA-dataset --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/mesoinception__NVIDIA-dataset
clean,NVIDIA-dataset,NVIDIA-dataset,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset.json,,,,,,,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset,xception,Xception,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,729.586,0.47255,0.430087405,0.5598,0.45829074175490203,0.430087405,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/xception__NVIDIA-dataset,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/xception__NVIDIA-dataset/NVIDIA-dataset/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/xception__NVIDIA-dataset/NVIDIA-dataset/metrics.json,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/logs/xception__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/evaluation_dataset_json --test_dataset NVIDIA-dataset --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/xception__NVIDIA-dataset
distorted,Dataset-1,Dataset-1,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/generated_dataset_json/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/work/source_jsonl/Dataset-1__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/work/jobs/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/work/distorted_outputs/Dataset-1,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0,mesonet,MesoNet,naive,Dataset-1__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,85.577,0.48078920041536866,0.7020476241900647,0.3472,0.6048019563415707,0.7020476241900647,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__Dataset-1__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/metrics.json,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/logs/mesonet__Dataset-1__gaussian_blur_v1__4a1525bdf7__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/evaluation_dataset_json --test_dataset Dataset-1__gaussian_blur_v1__4a1525bdf7__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/benchmark_runs/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__Dataset-1__gaussian_blur_v1__4a1525bdf7__v0
